,subject,replies,views,comment,date,user,activity,merit
12,Good or Bad - Blackrock Buying BTC,52,390,"Most people will say good because they only care about the price and don't care with privacy.For me it's bad because Bitcoin will be less decentralized, decentralization isn't only on the hash rate or network, but we also need decentralization on the holders.Quote from: NeuroticFish on March 30, 2024, 08:26:49 AMIt will bring more and more laws related to crypto - which is good (end of wild west of crypto, more protection) Protection in what? I think Bitcoin holders don't need to have a protection from the government because if someone lost their coins, it means there's something wrong with their OPSECs. If you lost your coins in hardware wallet or cold storage due to hack, $5 wrench attack, etc, I don't think the government will refund your coins. Only popular centralized entities e.g. Mt.Gox and FTX might refund your coins, even though there's no 100% guarantee, deadline or how much they would refund.","March 30, 2024, 09:20:38 AM",Apocollapse,924,728
13,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: Apocollapse on March 30, 2024, 09:20:38 AMProtection in what? I think Bitcoin holders don't need to have a protection from the government because if someone lost their coins, it means there's something wrong with their OPSECs. If you lost your coins in hardware wallet or cold storage due to hack, $5 wrench attack, etc, I don't think the government will refund your coins. Only popular centralized entities e.g. Mt.Gox and FTX might refund your coins, even though there's no 100% guarantee, deadline or how much they would refund.There were quite a lot of crashes between Mt Gox and FTX. And most didn't refund. In such cases all the people who didn't understand what ""not your keys, not your coins"" means were crying for government protection. That's what I'm talking about.You are right. You or me don't need that. But there are (sadly) soooo many people who simply can't take proper care of their money and don't care to read the basic rules... making us a tiny minority.This being said... protection is good. For the many.","March 30, 2024, 09:25:56 AM",NeuroticFish,3626,6323
14,Good or Bad - Blackrock Buying BTC,52,390,"I think it's great news if Black Rock buys Bitcoin. I think if they buy bitcoins surely the price of bitcoins will increase, popularity will increase and it will be stronger.If black rock company buys bitcoins and buys altcoins we do assume the price of all those coins will go up if so I will be very lucky here because I hold another coin besides bitcoin even though it is altcoin. I am sharing a picture here which I collected from a telegram channel. I am marking in red the two coins I bought.I am sharing the picture here true false you can consider. But the coin I buy and hold after Bitcoin I expect to be very successful with this coin.","March 30, 2024, 09:38:28 AM",2Pizza410000BTC,322,185
15,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: m2017 on March 30, 2024, 08:03:10 AMQuote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?Blackrock buying bitcoins is neither good nor bad, but this is reality. No matter how you feel about it, you can't influence the outcome or change it.Exactly. Even if it is not beneficial to us, we cannot keep on complaining because there’s nothing we can do about it Instead we should start thinking of ways how to accumulate more bitcoineven if it sounds impossible because complaining will get us nowhere","March 30, 2024, 09:41:31 AM",Reatim,2786,357
16,Good or Bad - Blackrock Buying BTC,52,390,"Every event will always have advantages and disadvantages. Institutional investors will increase Bitcoin awareness and adoption. They will also contribute to the increase in the price of the currency. Which means more money for long-time holders. Many people would never invest in Bitcoin directly except they use third parties. So it is good news for them since they can now invest through ETF. The disadvantages will be more centralisation which undermines the ideology of Bitcoin. There will also be more regulations and invasion of privacy. It could also lead to misinformation since people might think that these third parties are the only means of investing in Bitcoin. Some persons use Bitcoin to avoid tax but with this investment platform, avoiding tax might be difficult. ","March 30, 2024, 09:41:49 AM",Fiatless,504,513
17,Good or Bad - Blackrock Buying BTC,52,390,"Well, it has its upsides and downsides. The rise of the price should've come at some point, and it comes with problems for people to start buying, but benefits long-term holders, just as always. I'm just trying to say that it depends on person, is it good or bad for them. It's definitely good for me, I don't have large amounts of BTC, but it's good to see new ATHs.","March 30, 2024, 10:14:56 AM",Cvetik56,171,5
18,Good or Bad - Blackrock Buying BTC,52,390,"For people who have been holding BTC all this time, the presence of Blackrock buying more BTC will have a positive impact on holders because it will influence a very significant increase in the price of Bitcoin. Therefore, Blackrock buying more BTC will be good news for holders because they can get huge profits from the very significant increase in BTC prices.","March 30, 2024, 10:33:43 AM",bots1,892,274
19,Good or Bad - Blackrock Buying BTC,52,390,"QuoteGood or Bad - Blackrock Buying BTCEverything has pros and cons, if they buy a large amount of bitcoin, it will push the price of bitcoin up, but if they sell bitcoin and take profits, it will also cause the market to fluctuate. And what's more important is that there's nothing we can do to stop them, so there's no need to discuss whether them holding a lot of bitcoin is bad or good. Many people want bitcoin to become popular but they forget that once bitcoin becomes popular, it is inevitable that large funds will jump into the market and buy the majority of bitcoin. As well as governments will get involved and there will be more regulations for bitcoin and the cryptocurrency market. We need to adapt to what comes next because we cannot fight them.","March 30, 2024, 10:38:26 AM",Iranus,1764,533
20,Good or Bad - Blackrock Buying BTC,52,390,"Every buy of Bitcoin makes the Bitcoin in your possession more valuable. So the more they continue to buy, they more Bitcoin strengthens and by extension becomes better for those that already have some. You may be speaking from the angle of them creating monopoly which can be used to manipulate Bitcoin price. While this is possible in the future, it will not be easy for them to achieve because there is also associated risk to them and they are aware of it. Do not worry about their buys, just protect what you have and allow them continue to buy because their action will surely turn to your advantage. ","March 30, 2024, 10:58:18 AM",Moreno233,280,172
21,Good or Bad - Blackrock Buying BTC,52,390,"It's always important to understand the importance of accumulating of bitcoins in implying the DCA method. This would help you manage your purchasing conscience in the sense that you can budget a specific amount of money to be Invested and then you watch over the market trends so you gradually accumulated based on the fluctuating potentialities of the markets trends. It can either befalls to favour your purchasing where you can actually buy more or goes against your wills where you'd have no choice than to buy at any amount that the market is currently trending which by any means, you can meet the market when the value is depreciating or appreciating.But I can tell you that the current market trends is not too high for who's coming in newly to the bicoin industry to buy theirs and hodl in as much we haven't reached to the bull run yet.While on the DCA method, you can also decide to hold on to your accumulations until halving but you it could be dramatic that while you're waiting for the halving, who just bought at the moment could be lucky to catch up with the further increments they market may offer before the halving.","March 30, 2024, 12:33:03 PM",AVE5,126,26
22,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?Microstrategy CEO,  Michael Saylor was known to have bought some large volume of BTC some weeks back also and that was as at the time BTC was $72k price. Am certainly not surprised about BlackRock doing same because as the halving is fast approaching this is how whales will get to acquire and control the market in months to come. The purchase by BlackRock will sure increase the value of BTC making its price rise despite it taking a dip recently and we might see other large investors like big companies and corporations  acquire the spot exchange traded funds more in coming days too.BlackRock acquisition is a good thing because it shows BTC still has worth and it doesn't stop those with the plan to DCA from starting our continuing because it is a strategy of investment that favours the small time hodlers or investors who don't have such huge sums like Michael Saylor or BlackRock do.","March 30, 2024, 01:05:16 PM",Cryptomultiplier,728,179
23,Good or Bad - Blackrock Buying BTC,52,390,"Blackrock getting into Bitcoin is a HUGE deal. This isnt some small-time play, this is the big leagues. It screams Bitcoin's a major asset, one the top players take seriously. We crypto folks were right all along, and this proves it. Now, this is fantastic news for those already holding Bitcoin. Blackrock doesnt mess around. Their investment tells the world this stuff has real value. BUT, and here's where I feel for the average Joe, it aint all sunshine. Suddenly, getting into Bitcoin gets pricier. Thats the reality of big money.Some worry this is too much too soon. I hear that. But in this game, timing is everything. Blackrock changes the landscape. My advice? Dont panic. Get educated, get prepared. Remember, OWN those coins, use secure wallets. The future is digital, and Bitcoin's in the driver's seat. The best is yet to come.","March 30, 2024, 01:41:31 PM",Blitzboy,1176,554
24,Good or Bad - Blackrock Buying BTC,52,390,"Its always a good decision to be buying the more because its an investment, i will also applaud BlackRock on this because they have been consistence in their buying each time of the market season, maybe this could also serve a lesson to many who will only be investing on their belly with bottles of beer and expect the future to come in a divine and mysterious ways for them, maybe this is part of the reason why the rich will keep getting richer, we can also develop their kind of mentality if we must have a secured future with our investment which all begins with our decision made today. ","March 30, 2024, 02:42:26 PM",Dunamisx,812,539
25,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: Cryptomultiplier on March 30, 2024, 01:05:16 PMQuote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?Microstrategy CEO,  Michael Saylor was known to have bought some large volume of BTC some weeks back also and that was as at the time BTC was $72k price. Am certainly not surprised about BlackRock doing same because as the halving is fast approaching this is how whales will get to acquire and control the market in months to come. The purchase by BlackRock will sure increase the value of BTC making its price rise despite it taking a dip recently and we might see other large investors like big companies and corporations  acquire the spot exchange traded funds more in coming days too.BlackRock acquisition is a good thing because it shows BTC still has worth and it doesn't stop those with the plan to DCA from starting our continuing because it is a strategy of investment that favours the small time hodlers or investors who don't have such huge sums like Michael Saylor or BlackRock do.Is it really as good as you say? Blackrock or Microstrategy or Tesla are all bitcoin investors, which means they don't buy bitcoins just to hold them forever and not sell them. Have you ever thought about them selling all the bitcoins they accumulated to the market and what would happen then? It would certainly be terrible. In the past few days, when the amount of Bitcoin that Grayscale sold was greater than the amount of Bitcoin that ETFs bought, the price of bitcoin also decreased. And even a small amount of bitcoin can cause a decline, so if Blackrock sells a large amount, it will cause a huge panic in the market.","March 30, 2024, 02:50:29 PM",DanWalker,1890,544
26,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: DanWalker on March 30, 2024, 02:50:29 PMIs it really as good as you say? Blackrock or Microstrategy or Tesla are all bitcoin investors, which means they don't buy bitcoins just to hold them forever and not sell them. Have you ever thought about them selling all the bitcoins they accumulated to the market and what would happen then? It would certainly be terrible. In the past few days, when the amount of Bitcoin that Grayscale sold was greater than the amount of Bitcoin that ETFs bought, the price of bitcoin also decreased. And even a small amount of bitcoin can cause a decline, so if Blackrock sells a large amount, it will cause a huge panic in the market. Yes every sell from this big investors will definitely cause a market correction because of the excess supply they have. No investor that doesn’t know this, the market is of two phase the bearish and the bullish. So even if the blackrock decide to sell today which is logical it will still be a good thing because it means more buying opportunity and also a spread of the coin to other investors than them holding the junk of it. If one is scared of a drop then they should sell when they are in profit ","March 30, 2024, 02:59:19 PM",EL MOHA,364,218
27,Good or Bad - Blackrock Buying BTC,52,390,I don't see any reason why it can be bad. If you say that them buying a lot of Bitcoin will make it difficult for retail investors to buy Bitcoin then it's not true. They wouldn't buy every Bitcoin up for sale and people who are interested in buying at current prices can still make their purchases regardless of how many they or any other industry leader buys.Individuals generally don't buy when the prices are a bit high while companies and firms like Blackrock can't wait for a better price because they need to have Bitcoin at all times for their customers.,"March 30, 2024, 03:06:03 PM",Alone055,882,195
28,Good or Bad - Blackrock Buying BTC,52,390,"The moment that institutional investors starters putting their money in is the moment that we never should've welcomed before, it's already too late for what we're expecting to be the result of this, we will eventually see what's going to happen next anyway, Blackrock's basically have an unlimited supply of money so I don't know if they're not going to use it to their fullest, they know that if they buy bitcoin, they can easily screw over the retail investors and we all know how good they are with that part, pretty sure that we're going to see that happen anytime soon, make sure to continuing hodling.","March 30, 2024, 03:43:58 PM",blckhawk,1456,326
29,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: Alone055 on March 30, 2024, 03:06:03 PMI don't see any reason why it can be bad. If you say that them buying a lot of Bitcoin will make it difficult for retail investors to buy Bitcoin then it's not true. They wouldn't buy every Bitcoin up for sale and people who are interested in buying at current prices can still make their purchases regardless of how many they or any other industry leader buys.Individuals generally don't buy when the prices are a bit high while companies and firms like Blackrock can't wait for a better price because they need to have Bitcoin at all times for their customers.This isn't the problem. The problem is that BlackRock will have too much supply of Bitcoin on their hands, what means their influence inside this market increases a lot, giving margin to price manipulation. They have already done it recently, crashing Bitcoin price right after the ETFs were approved by SEC. And that was just a sample, as they had potential to do a much deeper damage to Bitcoin.It's never good news that whales are mass acquiring Bitcoins, as it will increase their power and decrease the participation of autonomous average investors in the total supply. Another example is the speculator Elon Musk who adopted BTC through his company Tesla, boosting BTC price considerably, but right after talked negatively about Bitcoin harming the environment, dumping Bitcoin price as consequence.What these whales want is that Bitcoin becomes an hostage of their greedy financial goals.","March 30, 2024, 03:52:13 PM",uneng,1988,775
30,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?BlackRock and other organizations in the BTC spot ETF space aim to be the major controllers of the market and there's no way they won't be sooner or later because some naive investors choose to invest in their spot ETF rather than making themselves responsible for their BTC holding through self-custodial.Having said that, the organization's (BlackRock) accumulation of more BTC will increase the market greed level while the disadvantage is that the chance of market manipulation will increase and institution banks will be in charge of 99.6% of their service.Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?The organization accumulation does not make it hard for anyone who wants to join the market and for the record, the US Government has an auction of Billion of dollars worth of Bitcoin and there's no way this auction will take place that it wont impact the market price.","March 30, 2024, 05:06:09 PM",suzanne5223,2576,650
31,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: 2Pizza410000BTC on March 30, 2024, 09:38:28 AMI think it's great news if Black Rock buys Bitcoin. I think if they buy bitcoins surely the price of bitcoins will increase, popularity will increase and it will be stronger.If black rock company buys bitcoins and buys altcoins we do assume the price of all those coins will go up if so I will be very lucky here because I hold another coin besides bitcoin even though it is altcoin. I am sharing a picture here which I collected from a telegram channel. I am marking in red the two coins I bought.I am sharing the picture here true false you can consider. But the coin I buy and hold after Bitcoin I expect to be very successful with this coin.That's a token, not even an actual cryptocurrency and it is just another shittoken like thousands of others with no actual potential whatsoever. If you check out its chart you can clearly see that it also had its moment in the sun after its creation 3 years ago and it has been dumping ever since and staying dead until the recent fake hype with Blackrock that slightly pumped it.The best one can hope with shittokens like this is to see some fake hype leading to small pump. They are never good for ""investment"" though. Just for very quick pump and dump.","March 30, 2024, 05:25:49 PM",pooya87,3402,10440
32,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?I feel like this topic has been beaten to death already with all the ETF / Blackrock threads since this year and even going back to last summer.But let's be clear. Blackrock is not buying! They are buying ON BEHALF of their ETF customers. People keep talking about ETFs like it is the handful of investment firms that are buying up all this Bitcoin. Yes, they technically are the ones buying, but they are doing it with customers money, on the behalf of customers. So it isn't Blackrock buying up all this Bitcoin, it's myriad investors in the TradFi markets that are buying up the bitcoin through the ETFs.Secondly, ""it makes it harder for others not in the market yet to buy more amounts""...well, that is the case anytime anyone buys Bitcoin. If you follow that line of thought, then nobody should ever buy bitcoin because it'll make it harder for other people to buy bitcoin, therefore nobody owns bitcoin and it is worth $0 and doesn't exist anymore.There is no such thing as too much too soon. Bitcoin reached a mainstream global audience 7 years ago! So the average person has had 7 years to buy Bitcoin. It isn't the TradFi investors who are buying bitcoin through the ETFs fault that the vast majority of people still don't own bitcoin.The purpose of Bitcoin is not for everyone to get a great deal on Bitcoin. It's a currency - the purpose is to own it and use it. Everyone is able to choose if and when they decide to buy Bitcoin. Everyone who has wanted Bitcoin before the ETFs opened up Bitcoin to the US TradFi world already bought it. The ETF buyers are market participants just like anyone else (though of course they aren't holding bitcoin itself but holding it purely as an investment through a financial product). The people who haven't yet decided to own bitcoin don't get some sort of preference to get to buy it before TradFi people lol. If they wanted to buy it already they would have.","March 30, 2024, 05:41:30 PM",thecodebear,2058,800
33,Good or Bad - Blackrock Buying BTC,52,390,"On the front it looks awesome.  You see some body purchasing a crap load of Bitcoin and it is making waves into the News and community too.  Could create a lot of FOMO as well.But there are more negatives in my opinion.  The inside of this situation is rotten, opposed to how the front looks.  I can not take some body owning a HUGE chunk of the Total Supply of Bitcoin positively.  This can have dire consequences in the long term.Sure.  Not all of that is theirs.  Only a very insignificant part of it.But some body holding this much Bitcoin on their hands is still a very dangerous situation.  See Banks.  Are we not trying to run away from Banks and how they function?Anyway.  Where there is money to be made, the big players will be present all the time.  This includes Blackrock.  So as much as I hate it, there is no where to run from this situation.  Fools will sell while smart people buy.  Unfortunately the big players never seem to become the Fools.","March 30, 2024, 06:13:45 PM",PrivacyG,742,1700
34,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: EL MOHA on March 30, 2024, 02:59:19 PMQuote from: DanWalker on March 30, 2024, 02:50:29 PMIs it really as good as you say? Blackrock or Microstrategy or Tesla are all bitcoin investors, which means they don't buy bitcoins just to hold them forever and not sell them. Have you ever thought about them selling all the bitcoins they accumulated to the market and what would happen then? It would certainly be terrible. In the past few days, when the amount of Bitcoin that Grayscale sold was greater than the amount of Bitcoin that ETFs bought, the price of bitcoin also decreased. And even a small amount of bitcoin can cause a decline, so if Blackrock sells a large amount, it will cause a huge panic in the market. Yes every sell from this big investors will definitely cause a market correction because of the excess supply they have. No investor that doesn’t know this, the market is of two phase the bearish and the bullish. So even if the blackrock decide to sell today which is logical it will still be a good thing because it means more buying opportunity and also a spread of the coin to other investors than them holding the junk of it. If one is scared of a drop then they should sell when they are in profit When blackrock and large funds sell their bitcoins, there are also 2 cases that happen. Those who bought bitcoin at higher prices will see this as a bad thing as the market is dumped and they fall into losses. On the contrary, those who want to accumulate more bitcoin will see this as a great opportunity to own bitcoin at a cheap price. That's why I often say that everything has its pros and cons. The fact that we have a large amount of capital participating in the market is not 100% good or bad.Our mission is to closely monitor market developments to come up with appropriate solutions to optimize profits, and that will depend on the mindset of each investor. Not everyone will win when investing in bitcoin, in the battle there will be winners and losers.","March 31, 2024, 03:28:30 AM",Iranus,1764,533
35,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?I have mixed feelings as well but I think we should try to look at the bright side of this: having big funds like BlackRock etc on bitcoin's side instead of against, is going to reassure many people that bitcoin is actually something legit and not a scam. It could accelerate bitcoin's adoption. Of course I know that people who are buying the ETFs are (probably) not going to buy and use the actual bitcoins but this is all free advertisement at the end.","March 31, 2024, 04:05:50 AM",Ale88,2338,2307
36,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: Orpichukwu on March 29, 2024, 09:53:37 PMEven now that the price of bitcoin is still below $70,000, there are people who are still unable to afford a whole bitcoin, which is never a problem and shouldn't be a problem.  Even if Blackrock and other financial institutions want to buy more bitcoin, the thing will still remain the same. You can only reduce the amount you will buy if the price goes all up, just as those who didn't buy when the price was below $30,000 have cut down their budget.  One thing you need to know is that the bitcoin price will always move up above where it is right now, with or without this blackrock purchase. They are just helping the process speed up a little bit, but the bitcoin price is going to remain stagnant, so if you have money to buy, use the opportunity of seeing it at a low price to accumulate what you can.But it can be a problem in future. They will be very powerful and will control prices in future. This will make it hard for future investors to come into the market. However, not everything is bad about it. There is another aspect that Blackrock buying lots of bitcoins means that there will be more demand for bitcoin. It will mean that prices will grow which will benefit other small investors holding bitcoins currently. ","March 31, 2024, 05:02:00 AMLast edit: March 31, 2024, 04:54:22 PM by krishnaverma",krishnaverma,1246,105
